date,title,amount
2025-07-04,Mais Mobi,20.00
2025-06-29,Supermercado Guanabara,100.89
2025-06-26,Campeao,47.62
2025-06-24,Multa de atraso,16.81
2025-06-24,Pagamento recebido,-837.45
2025-06-24,Encerramento de dívida,-20.07
2025-06-24,IOF de atraso,3.25
2025-06-24,Juros de dívida encerrada,20.07
2025-06-23,Crédito de atraso,-837.45
2025-06-23,Saldo em atraso,837.45
2025-06-22,Rederj,61.35
2025-06-20,Amazonprimebr,19.90
2025-06-19,Metro Rj,7.90
2025-06-18,Supermercado Guanabara,349.98
2025-06-17,Riocardmais,25.00
2025-06-17,Amazonprimebr,19.90
2025-06-17,Shopee *Chenjyacessori - Parcela 1/3,31.12
