date,title,amount
2025-01-30,Supermercado Guanabara,261.5
2025-01-28,Renegociação de pendências (28/Janeiro),-650.63
2025-01-28,Encerramento de dívida,-54.64
2025-01-28,Multa de atraso,19.08
2025-01-28,Juros de atraso,27.38
2025-01-28,IOF de atraso,8.17
2025-01-24,Rio Bel Cosmeticos,64.7
2025-01-23,Renegociação de pendências (28/Janeiro),226.89
2025-01-23,Pagamento recebido,-300.0
2025-01-22,Supermercado Guanabara,169.97
2025-01-21,Saldo em atraso,950.63
2025-01-21,Rederj,58.01
2025-01-21,Crédito de atraso,-950.63
2025-01-17,Amazonprimebr,19.9
2025-01-17,"Estorno de ""Amazon Prime Canais""",-29.9
2025-03-08,Bazar Variedades Mgg,19.99
2025-02-27,Supermercado Guanabara,370.34
2025-02-24,Rederj,69.81
2025-02-23,Pagamento recebido,-800.97
2025-02-22,Supermercado Guanabara,67.89
2025-02-17,Amazonprimebr,19.9
2025-02-16,Renegociação de pendências (28/Janeiro),226.89
2025-03-27,Supermercado Guanabara,304.04
2025-03-24,Rederj,85.92
2025-03-24,Pagamento recebido,-774.82
2025-03-21,Rederj,39.26
2025-03-18,Tim*Tim,66.99
2025-03-17,Amazonprimebr,19.9
2025-03-16,Renegociação de pendências (28/Janeiro),226.89
2025-05-07,Metro Rj,7.9
2025-04-28,Rederj,73.73
2025-04-25,Lojas Americanas,15.48
2025-04-25,Riocardmais,30.0
2025-04-24,Supermercado Guanabara,216.05
2025-04-24,Pagamento recebido,-743.0
2025-04-20,Amazonprimebr,19.9
2025-04-20,Supermercado Guanabara,34.89
2025-04-18,Norte Fruti Abolicao,40.55
2025-04-17,Rederj,130.03
2025-04-17,Amazonprimebr,19.9
2025-04-16,Renegociação de pendências (28/Janeiro),226.89
2025-07-04,Mais Mobi,20.0
2025-06-29,Supermercado Guanabara,100.89
2025-06-26,Campeao,47.62
2025-06-24,Multa de atraso,16.81
2025-06-24,Pagamento recebido,-837.45
2025-06-24,Encerramento de dívida,-20.07
2025-06-24,IOF de atraso,3.25
2025-06-24,Juros de dívida encerrada,20.07
2025-06-23,Crédito de atraso,-837.45
2025-06-23,Saldo em atraso,837.45
2025-06-22,Rederj,61.35
2025-06-20,Amazonprimebr,19.9
2025-06-19,Metro Rj,7.9
2025-06-18,Supermercado Guanabara,349.98
2025-06-17,Riocardmais,25.0
2025-06-17,Amazonprimebr,19.9
2025-06-17,Shopee *Chenjyacessori - Parcela 1/3,31.12
2025-08-03,Prezunic,34.19
2025-07-30,Supermercado Guanabara,270.54
2025-07-29,Amazon,18.09
2025-07-24,Rederj,71.13
2025-07-23,Pagamento recebido,-703.73
2025-07-22,Supermercado Guanabara,205.17
2025-07-21,Amazon,38.45
2025-07-20,Amazonprimebr,19.9
2025-07-18,Tim*Tim,81.8
2025-07-18,Mais Mobi,30.0
2025-07-17,Amazonprimebr,19.9
2025-07-16,Shopee *Chenjyacessori - Parcela 2/3,31.1
2025-09-03,Amazon Prime Canais,21.9
2025-08-27,Amazonprimebr,19.9
2025-08-27,Supermercado Guanabara,349.44
2025-08-26,Supermercado Guanabara,21.23
2025-08-25,Peixaria Joeldson,43.0
2025-08-25,Pagamento recebido,-800.37
2025-08-21,Shopee *Oncomercioshop,32.88
2025-08-21,Rederj,110.0
2025-08-19,Shopee *Rosalelingerie,38.99
2025-08-18,Rederj,81.11
2025-08-17,Amazonprimebr,19.9
2025-08-16,"Estorno de ""Amazonprimebr""",-19.9
2025-08-16,Shopee *Chenjyacessori - Parcela 3/3,31.1
2025-08-16,Amazon Prime Canais,39.9
2025-10-03,Amazon Prime Canais,21.9
2025-09-28,Campeao,30.37
2025-09-27,Amazonprimebr,19.9
2025-09-24,Pagamento recebido,-809.35
2025-09-24,Multa de atraso,16.24
2025-09-24,Juros de dívida encerrada,19.4
2025-09-24,IOF de atraso,3.15
2025-09-24,Encerramento de dívida,-19.4
2025-09-24,Perfumarialurdes - Parcela 1/2,50.93
2025-09-23,Saldo em atraso,809.35
2025-09-23,Crédito de atraso,-809.35
2025-09-23,Supermercado Guanabara,65.28
2025-09-21,Supermercado Guanabara,396.38
2025-09-18,Supermercado Guanabara,66.09
2025-09-17,Amazonprimebr,19.9
2025-09-17,Shopee *Policommerce,28.0
2025-09-17,Rederj,51.63
2025-09-17,54641504renatada,32.98
2025-11-10,"Estorno de ""Amazonprimebr""",-19.9
2025-11-10,"Estorno de ""Amazon Prime Canais""",-29.9
2025-11-03,Amazon Prime Canais,29.9
2025-10-27,Rederj,58.2
2025-10-27,Amazonprimebr,19.9
2025-10-25,Campeao,37.19
2025-10-24,IOF de atraso,3.12
2025-10-24,Multa de atraso,16.11
2025-10-24,Pagamento recebido,-802.77
2025-10-23,Saldo em atraso,802.76
2025-10-23,Supermercado Guanabara,46.56
2025-10-19,Campeao,60.84
2025-10-18,Supermercado Guanabara,414.73
2025-10-17,Amazonprimebr,19.9
2025-10-17,Rederj,82.2
2025-10-16,Perfumarialurdes - Parcela 2/2,50.92
2025-11-25,IOF de atraso,3.07
2025-11-25,Multa de atraso,15.85
2025-11-25,Pagamento recebido,-789.78
2025-11-24,Saldo em atraso,789.78
2025-11-23,Supermercado Guanabara,518.85
2025-11-20,Rederj,89.51
2025-11-19,Drogaria Droga Xiii,43.96
2025-11-17,Rederj,108.31
2025-11-17,Amazonprimebr,19.9
2025-12-31,Supermercado Guanabara,177.04
2025-12-25,54641504renatada,39.94
2025-12-24,IOF de atraso,3.11
2025-12-24,Multa de atraso,16.05
2025-12-24,Pagamento recebido,-799.46
2025-12-23,Saldo em atraso,799.46
2025-12-22,Rederj,42.08
2025-12-21,Meier,39.99
2025-12-20,Supermercado Guanabara,370.91
2025-12-19,Campeao,72.69
2025-12-17,Amazonprimebr,19.9
2026-01-29,Supermercado Guanabara,121.26
2026-01-26,Supermercado Guanabara,75.61
2026-01-25,Perfumaria Lurdes,86.05
2026-01-23,Shopee *Rowely,39.58
2026-01-23,Pagamento recebido,-781.72
2026-01-22,Rederj,115.63
2026-01-17,Amazonprimebr,19.9
2026-01-17,Supermercado Guanabara,272.56
