mes,semana_mes,data,descricao,valor,valor_numerico,dia,mes_fatura
jan,5,2025-01-30,Supermercado Guanabara,261.5,2615,30,2025-02
jan,4,2025-01-28,Renegociação de pendências (28/Janeiro),-650.63,-65063,28,2025-02
jan,4,2025-01-28,Encerramento de dívida,-54.64,-5464,28,2025-02
jan,4,2025-01-28,Multa de atraso,19.08,1908,28,2025-02
jan,4,2025-01-28,Juros de atraso,27.38,2738,28,2025-02
jan,4,2025-01-28,IOF de atraso,8.17,817,28,2025-02
jan,4,2025-01-24,Rio Bel Cosmeticos,64.7,647,24,2025-02
jan,4,2025-01-23,Renegociação de pendências (28/Janeiro),226.89,22689,23,2025-02
jan,4,2025-01-23,Pagamento recebido,-300.0,-3000,23,2025-02
jan,4,2025-01-22,Supermercado Guanabara,169.97,16997,22,2025-02
jan,3,2025-01-21,Saldo em atraso,950.63,95063,21,2025-02
jan,3,2025-01-21,Rederj,58.01,5801,21,2025-02
jan,3,2025-01-21,Crédito de atraso,-950.63,-95063,21,2025-02
jan,3,2025-01-17,Amazonprimebr,19.9,199,17,2025-02
jan,3,2025-01-17,"Estorno de ""Amazon Prime Canais""",-29.9,-299,17,2025-02
mar,2,2025-03-08,Bazar Variedades Mgg,19.99,1999,8,2025-03
fev,4,2025-02-27,Supermercado Guanabara,370.34,37034,27,2025-03
fev,4,2025-02-24,Rederj,69.81,6981,24,2025-03
fev,4,2025-02-23,Pagamento recebido,-800.97,-80097,23,2025-03
fev,4,2025-02-22,Supermercado Guanabara,67.89,6789,22,2025-03
fev,3,2025-02-17,Amazonprimebr,19.9,199,17,2025-03
fev,3,2025-02-16,Renegociação de pendências (28/Janeiro),226.89,22689,16,2025-03
mar,4,2025-03-27,Supermercado Guanabara,304.04,30404,27,2025-04
mar,4,2025-03-24,Rederj,85.92,8592,24,2025-04
mar,4,2025-03-24,Pagamento recebido,-774.82,-77482,24,2025-04
mar,3,2025-03-21,Rederj,39.26,3926,21,2025-04
mar,3,2025-03-18,Tim*Tim,66.99,6699,18,2025-04
mar,3,2025-03-17,Amazonprimebr,19.9,199,17,2025-04
mar,3,2025-03-16,Renegociação de pendências (28/Janeiro),226.89,22689,16,2025-04
mai,1,2025-05-07,Metro Rj,7.9,79,7,2025-05
abr,4,2025-04-28,Rederj,73.73,7373,28,2025-05
abr,4,2025-04-25,Lojas Americanas,15.48,1548,25,2025-05
abr,4,2025-04-25,Riocardmais,30.0,300,25,2025-05
abr,4,2025-04-24,Supermercado Guanabara,216.05,21605,24,2025-05
abr,4,2025-04-24,Pagamento recebido,-743.0,-7430,24,2025-05
abr,3,2025-04-20,Amazonprimebr,19.9,199,20,2025-05
abr,3,2025-04-20,Supermercado Guanabara,34.89,3489,20,2025-05
abr,3,2025-04-18,Norte Fruti Abolicao,40.55,4055,18,2025-05
abr,3,2025-04-17,Rederj,130.03,13003,17,2025-05
abr,3,2025-04-17,Amazonprimebr,19.9,199,17,2025-05
abr,3,2025-04-16,Renegociação de pendências (28/Janeiro),226.89,22689,16,2025-05
jul,1,2025-07-04,Mais Mobi,20.0,200,4,2025-07
jun,5,2025-06-29,Supermercado Guanabara,100.89,10089,29,2025-07
jun,4,2025-06-26,Campeao,47.62,4762,26,2025-07
jun,4,2025-06-24,Multa de atraso,16.81,1681,24,2025-07
jun,4,2025-06-24,Pagamento recebido,-837.45,-83745,24,2025-07
jun,4,2025-06-24,Encerramento de dívida,-20.07,-2007,24,2025-07
jun,4,2025-06-24,IOF de atraso,3.25,325,24,2025-07
jun,4,2025-06-24,Juros de dívida encerrada,20.07,2007,24,2025-07
jun,4,2025-06-23,Crédito de atraso,-837.45,-83745,23,2025-07
jun,4,2025-06-23,Saldo em atraso,837.45,83745,23,2025-07
jun,4,2025-06-22,Rederj,61.35,6135,22,2025-07
jun,3,2025-06-20,Amazonprimebr,19.9,199,20,2025-07
jun,3,2025-06-19,Metro Rj,7.9,79,19,2025-07
jun,3,2025-06-18,Supermercado Guanabara,349.98,34998,18,2025-07
jun,3,2025-06-17,Riocardmais,25.0,250,17,2025-07
jun,3,2025-06-17,Amazonprimebr,19.9,199,17,2025-07
jun,3,2025-06-17,Shopee *Chenjyacessori - Parcela 1/3,31.12,3112,17,2025-07
ago,1,2025-08-03,Prezunic,34.19,3419,3,2025-08
jul,5,2025-07-30,Supermercado Guanabara,270.54,27054,30,2025-08
jul,5,2025-07-29,Amazon,18.09,1809,29,2025-08
jul,4,2025-07-24,Rederj,71.13,7113,24,2025-08
